Kabupaten/Kota,2020,2021,2022,2023,2024,2025
Kab.Pacitan,422,424,414,410,411,411
Kab.Ponorogo,727,732,680,676,679,681
Kab.Trenggalek,637,641,592,593,596,598
Kab.Tulungagung,1032,1039,966,968,973,978
Kab.Blitar,916,921,711,718,724,730
Kab.Kediri,1180,1186,1087,1101,1109,1117
Kab.Malang,752,756,773,782,788,793
Kab.Lumajang,625,629,633,634,638,641
Kab.Jember,820,825,775,781,786,791
Kab.Banyuwangi,295,297,482,485,488,491
Kab.Bondowoso,509,510,503,507,510,512
Kab.Situbondo,411,412,418,421,424,426
Kab.Probolinggo,679,681,673,682,687,692
Kab.Pasuruan,1090,1093,1084,1101,1110,1118
Kab.Sidoarjo,3283,3298,2905,2968,2999,3030
Kab.Mojokerto,1559,1568,1151,1163,1172,1181
Kab.Jombang,1182,1189,1204,1218,1228,1238
Kab.Nganjuk,902,906,867,872,878,883
Kab.Madiun,717,723,6668,678,681,683
Kab.Magetan,974,979,960,965,970,976
Kab.Ngawi,671,674,629,631,633,636
Kab.Bojonegoro,592,595,569,571,573,575
Kab.Tuban,653,656,613,617,621,624
Kab.Lamongan,754,761,783,781,786,791
Kab.Gresik,1101,1109,1061,1075,1086,1096
Kab.Bangkalan,1059,1070,835,839,847,855
Kab.Sampang,786,792,801,818,827,837
Kab.Pamekasan,1073,1077,1079,1101,1113,1123
Kab.Sumenep,563,565,545,550,553,556
Kota Kediri,4524,4542,4305,4391,4436,4480
Kota Blitar,4579,4617,4577,4619,4664,4709
Kota Malang,5808,5816,7617,7790,7857,7921
Kota Probolinggo,4229,4256,4448,4517,4564,4610
Kota Pasuruan,5894,5937,5424,5549,5626,5701
Kota Mojokerto,6553,6594,6645,6732,6796,6855
Kota Madiun,5754,5805,5514,5536,5585,5634
Kota Surabaya,8200,8217,8595,8667,8698,8727
Kota Batu,1558,1570,1116,1134,1147,1159
Jawa Timur,851,855,857,865,870,876
