Kabupaten/Kota,2020,2021,2022,2023,2024,2025
Kab.Pacitan,"0,78","0,68","0,66","0,12","0,11","0,1"
Kab.Ponorogo,"1,01","0,92","0,9","0,39","0,38","0,37"
Kab.Trenggalek,"0,78","0,69","0,67","0,5","0,49","0,47"
Kab.Tulungagung,"0,93","0,83","0,81","0,6","0,58","0,57"
Kab.Blitar,"0,89","0,79","0,77","0,88","0,86","0,84"
Kab.Kediri,"0,84","0,74","0,72","0,92","0,88","0,85"
Kab.Malang,"0,79","0,7","0,68","0,83","0,81","0,79"
Kab.Lumajang,"1,03","0,94","0,91","0,64","0,63","0,61"
Kab.Jember,"0,81","0,72","0,7","0,71","0,7","0,68"
Kab.Banyuwangi,"0,91","0,81","0,79","0,76","0,72","0,69"
Kab.Bondowoso,"0,51","0,41","0,39","0,56","0,55","0,54"
Kab.Situbondo,"0,56","0,46","0,44","0,58","0,57","0,56"
Kab.Probolinggo,"0,49","0,39","0,37","0,77","0,75","0,73"
Kab.Pasuruan,"0,58","0,48","0,46","0,86","0,84","0,82"
Kab.Sidoarjo,"0,68","0,58","0,56","1,14","1,12","1,1"
Kab.Mojokerto,"0,85","0,75","0,73","0,85","0,83","0,81"
Kab.Jombang,"0,89","0,8","0,77","0,91","0,89","0,88"
Kab.Nganjuk,"0,80","0,7","0,68","0,68","0,67","0,65"
Kab.Madiun,"1,14","1,04","1,02","0,49","0,48","0,47"
Kab.Magetan,"0,76","0,66","0,64","0,59","0,58","0,57"
Kab.Ngawi,"0,6","0,5","0,48","0,44","0,43","0,41"
Kab.Bojonegoro,"0,71","0,61","0,59","0,5","0,48","0,46"
Kab.Tuban,"0,67","0,57","0,55","0,62","0,6","0,58"
Kab.Lamongan,"1,28","1,18","1,16","0,68","0,67","0,65"
Kab.Gresik,"1,05","0,95","0,93","1,08","1,06","1,04"
Kab.Bangkalan,"1,53","1,43","1,41","1,07","1,04","1,02"
Kab.Sampang,"0,97","0,87","0,85","1,29","1,26","1,23"
Kab.Pamekasan,"0,64","0,54","0,52","1,09","1,07","1,05"
Kab.Sumenep,"0,74","0,64","0,62","0,71","0,68","0,65"
Kota Kediri,"0,64","0,54","0,52","2,94","1,05","1,04"
Kota Blitar,"1,19","1,09","1,07","2,86","1,02","0,99"
Kota Malang,"0,27","0,18","0,16","2,55","0,9","0,88"
Kota Probolinggo,"0,96","0,86","0,84","3,08","1,09","1,07"
Kota Pasuruan,"1,07","0,98","0,96","4,04","1,43","1,41"
Kota Mojokerto,"0,94","0,84","0,82","2,8","0,99","0,96"
Kota Madiun,"1,29","1,19","1,17","2,45","0,89","0,89"
Kota Surabaya,"0,37","0,28","0,26","1,29","0,44","0,42"
Kota Batu,"1,1","1,01","0,99","3,38","1,19","1,17"
Jawa Timur,"0,79","0,7","0,68","2,12","0,75","0,73"
