Kabupaten/Kota,2020,2021,2022,2023,2024,2025
Kab.Pacitan,"80,36","80,57","82,99","81,64","86,62","80,82"
Kab.Ponorogo,"71,51","72,63","72,92","75,88","78,75","79,91"
Kab.Trenggalek,"75,72","72,36","72,01","80,72","80,08","77,67"
Kab.Tulungagung,"73,17","72,26","71,95","74,7","75,57","74,72"
Kab.Blitar,"70,83","70,44","72,79","73,5","72,36","75,82"
Kab.Kediri,"70,65","69,34","68,73","68,74","71,31","69,65"
Kab.Malang,"71,62","68,49","70,38","70,66","72,9","73,86"
Kab.Lumajang,"66,92","66,19","69,75","68,49","70,86","69,64"
Kab.Jember,"68,04","68,97","69,44","72,3","73,76","75,78"
Kab.Banyuwangi,"71,8","72,32",72,"79,04","75,36","73,74"
Kab.Bondowoso,"75,09","73,89","74,61","74,39","75,1","77,28"
Kab.Situbondo,"73,17","71,63","72,15","75,28","76,66","78,51"
Kab.Probolinggo,"72,89","73,24","71,56","69,48","73,18","76,72"
Kab.Pasuruan,"67,67","69,03","70,19","71,21","75,31","74,72"
Kab.Sidoarjo,"67,17","66,47","72,87","69,62","68,37","69,53"
Kab.Mojokerto,"69,79","70,47","71,34","72,51","73,94","74,24"
Kab.Jombang,"70,23","70,69","66,65","71,91","71,88","72,64"
Kab.Nganjuk,"65,75","64,24","66,79","66,89","69,79","73,19"
Kab.Madiun,"71,42","67,77","72,72","72,49","72,34","73,97"
Kab.Magetan,"73,23","73,31","74,03","78,48","77,04","74,7"
Kab.Ngawi,"72,69","72,88","78,6","69,43","75,73","74,58"
Kab.Bojonegoro,"74,6","71,84","72,16","74,29","73,86","78,61"
Kab.Tuban,"71,84","73,77","73,63","74,73","74,55","72,86"
Kab.Lamongan,"70,81","70,72","69,3","75,08","74,8","74,77"
Kab.Gresik,"66,53","69,43","68,3","70,12","71,61","67,99"
Kab.Bangkalan,67,"68,66","73,86","71,49","70,48","68,94"
Kab.Sampang,"69,93","70,19","73,37","73,54","73,62","77,46"
Kab.Pamekasan,"69,82","65,88","73,59","77,14","79,13","79,85"
Kab.Sumenep,"75,02","75,63","75,12","78,86","78,16",80
Kota Kediri,66,"67,35","69,93","71,83","70,74","70,64"
Kota Blitar,"69,53","69,96","67,78","72,26","70,44","75,95"
Kota Malang,"66,41","67,59","63,08","67,58","67,52","69,85"
Kota Probolinggo,"69,07","69,71","68,39","70,61","67,55","68,44"
Kota Pasuruan,"70,05","71,66","68,05","75,65","72,72","75,63"
Kota Mojokerto,"68,21","67,09","69,41","72,5","72,68","70,02"
Kota Madiun,"68,63","66,87","66,85","69,29","70,6","71,23"
Kota Surabaya,"68,05","67,3","69,99","68,73","70,49","70,59"
Kota Batu,"72,33","73,74","71,51","78,99","73,53","80,53"
Jawa Timur,"70,33",70,"71,23","72,56","73,45","73,98"
