Kabupaten/Kota,2020,2021,2022,2023,2024,2025
Kab.Pacitan,"2,28","2,04","3,65","1,83","1,56","1,4"
Kab.Ponorogo,"4,45","4,38","5,51","4,66","4,19","3,85"
Kab.Trenggalek,"4,11","3,53","5,37","4,52","3,9","3,86"
Kab.Tulungagung,"4,61","4,91","6,65","5,65","4,12","4,03"
Kab.Blitar,"3,82","3,66","5,45","4,91","4,77","4,49"
Kab.Kediri,"5,24","5,15","6,83","5,79","5,1","4,71"
Kab.Malang,"5,49","5,4","6,57","5,7","5,13",5
Kab.Lumajang,"3,36","3,51","4,97","3,67","3,28","3,08"
Kab.Jember,"5,12","5,44","4,06","4,01","3,23","3,07"
Kab.Banyuwangi,"5,34","5,42","5,26","4,75","4,03","3,94"
Kab.Bondowoso,"4,13","4,46","4,32","4,15","3,63","2,55"
Kab.Situbondo,"3,85","3,68","3,38","3,27","3,15","3,02"
Kab.Probolinggo,"4,86","4,55","3,25","3,24",3,"2,92"
Kab.Pasuruan,"6,24","6,03","5,91","5,48","5,02","4,22"
Kab.Sidoarjo,"10,97","10,87","8,8","8,05","6,49","5,75"
Kab.Mojokerto,"5,75","5,54","4,83","4,67","3,87","3,49"
Kab.Jombang,"7,48","7,09","5,47","4,66","3,75","3,28"
Kab.Nganjuk,"4,8","4,98","4,74","4,68","3,87","3,84"
Kab.Madiun,"4,8","4,99","5,84","5,14","4,34","3,22"
Kab.Magetan,"3,74","3,86","4,33","4,16","3,28","3,26"
Kab.Ngawi,"5,44","4,25","2,48","2,41","2,4","2,26"
Kab.Bojonegoro,"4,92","4,82","4,69","4,63","4,42","3,9"
Kab.Tuban,"4,81","4,68","4,54","4,4","4,28","3,44"
Kab.Lamongan,"5,13","4,9","6,05","5,46","4,34","4,29"
Kab.Gresik,"8,21",8,"7,84","6,82","6,45","5,47"
Kab.Bangkalan,"8,77","8,07","8,05","6,18","5,35","5,31"
Kab.Sampang,"3,35","3,45","3,11","2,72","2,5","2,44"
Kab.Pamekasan,"3,49","3,1","1,4","1,74","1,64","1,33"
Kab.Sumenep,"2,84","2,31","1,36","1,71","1,69","1,64"
Kota Kediri,"6,21","6,37","4,38","4,06","3,91","3,76"
Kota Blitar,"6,68","6,61","5,39","5,24","5,11","4,28"
Kota Malang,"9,61","9,65","7,66","6,8","6,1","5,69"
Kota Probolinggo,"6,7","6,55","4,57","4,53","4,44","4,93"
Kota Pasuruan,"6,33","6,23","6,18","5,64","4,63","4,59"
Kota Mojokerto,"6,74","6,87","5,05","4,73","3,76","4,66"
Kota Madiun,"8,32","8,15","6,39","5,85","4,3","4,29"
Kota Surabaya,"9,79","9,68","7,62","6,76","4,91","4,84"
Kota Batu,"5,93","6,57","8,43","4,52","3,63","3,53"
Jawa Timur,"5,84","5,74","5,49","4,88","4,19","3,88"
