Umur,2020,2021,2022,2023,2024,2025
0-4,"2.811.948,00","1.427.326,00","2.783.800,00",2.881.400,2.909.400,2.936.200
5-9,"2.933.302,00","2.911.221,00","2.886.900,00",2.863.300,2.832.400,2.802.400
10-14,"2.955.928,00","2.945.089,00","2.941.400,00",2.942.600,2.938.300,2.929.400
15-19,"3.020.928,00","2.993.787,00","2.973.800,00",2.966.500,2.955.300,2.947.100
20-24,"3.113.065,00","3.083.015,00","3.055.200,00",3.043.600,3.020.700,2.999.900
25-29,"3.138.006,00","3.121.291,00","3.109.300,00",3.110.800,3.100.100,3.085.300
30-34,"3.149.810,00","3.140.707,00","3.132.800,00",3.130.300,3.122.000,3.114.000
35-39,"3.113.813,00","3.107.654,00","3.110.200,00",3.120.900,3.126.400,3.128.600
40-44,"3.110.656,00","3.112.020,00","3.108.500,00",3.101.600,3.093.400,3.089.100
45-49,"2.930.712,00","2.960.622,00","2.996.700,00",3.027.700,3.055.100,3.073.000
50-54,"2.718.504,00","2.754.554,00","2.788.000,00",2.814.900,2.842.900,2.872.600
55-59,"2.354.326,00","2.412.423,00","2.473.000,00",2.529.500,2.582.200,2.628.800
60-64,"1.920.712,00","1.981.773,00","2.045.100,00",2.105.000,2.166.200,2.226.500
65-69,"1.451.323,00","1.516.126,00","1.579.200,00",1.633.300,1.691.700,1.750.700
70-74,"931.471,00","991.132,00","1.056.600,00",1.116.000,1.180.100,1.241.300
75+,"1.011.192,00","1.057.355,00","1.109.500,00",1.140.600,1.198.500,1.264.400
Jumlah/Total,"40.665.696,00","40.878.789,00","41.150.000,00",41.527.900,41.814.500,42.089.300
