Provinsi,2020,2021,2022,2023,2024,2025
Aceh,"5.274,90","5.333,70","5.407,90","5.482,50","5.554,80","5.626,00"
Sumatera Utara,"14.799,40","14.936,20","15.115,20","15.386,60","15.588,50","15.785,80"
Sumatera Barat,"5.534,50","5.580,20","5.640,60","5.757,20","5.836,20","5.914,30"
Riau,"6.394,10","6.493,60","6.614,40","6.642,90","6.728,10","6.811,20"
Jambi,"3.548,20","3.585,10","3.631,10","3.679,20","3.724,30","3.768,50"
Sumatera Selatan,"8.467,40","8.550,90","8.657,00","8.743,50","8.837,30","8.928,50"
Bengkulu,"2.010,70","2.032,90","2.060,10","2.086,00","2.112,20","2.138,00"
Lampung,"9.007,80","9.081,80","9.176,60","9.314,00","9.419,60","9.522,90"
Kepulauan Bangka Belitung,"1.455,70","1.473,20","1.494,60","1.511,90","1.531,50","1.550,80"
Kepulauan Riau,"2.064,60","2.118,20","2.179,80","2.152,60","2.183,30","2.213,50"
DKI Jakarta,"10.562,10","10.609,70","10.680,00","10.672,10","10.684,90","10.678,00"
Jawa Barat,"48.274,20","48.782,40","49.405,80","49.860,30","50.345,20","50.759,00"
Jawa Tengah,"36.516,00","36.742,50","37.032,40","37.541,00","37.892,30","38.233,90"
DI Yogyakarta,"3.668,70","3.712,90","3.761,90","3.736,50","3.759,50","3.781,50"
Jawa Timur,"40.665,70","40.878,80","41.150,00","41.527,90","41.814,50","42.089,30"
Banten,"11.904,60","12.061,50","12.252,00","12.307,70","12.431,40","12.537,40"
Bali,"4.317,40","4.362,70","4.415,10","4.404,30","4.433,30","4.461,30"
Nusa Tenggara Barat,"5.320,10","5.390,00","5.473,70","5.560,30","5.646,00","5.731,10"
Nusa Tenggara Timur,"5.325,60","5.387,70","5.466,30","5.569,10","5.656,00","5.742,60"
Kalimantan Barat,"5.414,40","5.470,80","5.541,40","5.623,30","5.695,50","5.766,00"
Kalimantan Tengah,"2.670,00","2.702,20","2.741,10","2.773,70","2.809,70","2.845,00"
Kalimantan Selatan,"4.073,60","4.122,60","4.182,10","4.222,30","4.273,40","4.323,30"
Kalimantan Timur,"3.766,00","3.808,20","3.859,80","3.909,70","4.045,90","4.267,60"
Kalimantan Utara,"701,80","713,60","727,80","730,00","739,80","749,40"
Sulawesi Utara,"2.621,90","2.638,60","2.659,50","2.681,50","2.701,80","2.721,40"
Sulawesi Tengah,"2.985,70","3.021,90","3.066,10","3.086,80","3.121,80","3.156,10"
Sulawesi Selatan,"9.073,50","9.139,50","9.225,80","9.362,30","9.463,40","9.563,10"
Sulawesi Tenggara,"2.624,90","2.659,20","2.701,70","2.749,00","2.793,10","2.836,70"
Gorontalo,"1.171,70","1.181,00","1.192,70","1.213,20","1.227,80","1.242,20"
Sulawesi Barat,"1.419,20","1.436,80","1.458,60","1.481,10","1.503,20","1.525,30"
Maluku,"1.848,90","1.862,60","1.881,70","1.920,50","1.945,60","1.970,60"
Maluku Utara,"1.282,90","1.299,20","1.319,30","1.337,10","1.355,60","1.373,80"
Papua Barat,"1.134,10","1.156,80","1.183,30","1.187,30","578,70","587,60"
Papua,"4.303,70","4.355,40","4.418,60","4.482,70","1.060,60","1.073,60"
Indonesia,"270.203,90","272.682,50","275.773,80","278.696,20","281.603,80","284.438,80"
